,Project,Version,,,API 1,,,,Misuse,,,,DMMC,GrouMiner,Jadet,Tikanga,MUDetect,MUDetectXP,,COMPOSITE,ALP,,,,,,,,ALP uniq
86,ivantrendafilov-confucius,2c30287,org/trendafilov/confucius/core/AbstractConfiguration.java,"getLongList(String, String)",java.lang.Long,,,,98,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,,TRUE,TRUE,,,,,,,,FALSE
87,ivantrendafilov-confucius,2c30287,org/trendafilov/confucius/core/AbstractConfiguration.java,getShortValue(String),java.lang.Short,,,,99,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
88,ivantrendafilov-confucius,2c30287,org/trendafilov/confucius/core/AbstractConfiguration.java,"getShortValue(String, short)",java.lang.Short,,,,100,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
89,ivantrendafilov-confucius,2c30287,org/trendafilov/confucius/core/AbstractConfiguration.java,"getShortList(String, String)",java.lang.Short,,,,101,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
90,jackrabbit,1601,org/apache/jackrabbit/core/ItemManager.java,"canRead(ItemData, Path)",org.apache.jackrabbit.core.ItemData,,,,1,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
91,jackrabbit,1750,org/apache/jackrabbit/spi/commons/value/QValueFactoryImpl.java,"BinaryQValue(InputStream, boolean)",java.io.InputStream,,,,5,,resource_leak,,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,TRUE,FALSE,,,,,,,,FALSE
92,jackrabbit,1678,org/apache/jackrabbit/webdav/jcr/JcrDavException.java,JcrDavException(RepositoryException),java.util.Map,,,,2,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
93,jackrabbit,1694,org/apache/jackrabbit/core/config/RepositoryConfigurationParser.java,parseClusterConfig(Element),org.apache.jackrabbit.core.config.ConfigurationParser,,,,3a,,wrong,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,,,,,,,,FALSE
94,jackrabbit,1694,org/apache/jackrabbit/core/config/RepositoryConfigurationParser.java,parseClusterConfig(Element),org.apache.jackrabbit.core.config.ConfigurationParser,,,duplicate,3b,,wrong,,,,,,,,,#VALUE!,,,,,,,,,FALSE
95,jfreechart,103,org/jfree/chart/axis/Axis.java,"drawLabel(String, Graphics2D, Rectangle2D, Rectangle2D, RectangleEdge, AxisState, PlotRenderingInfo)",org.jfree.chart.plot.PlotRenderingInfo,,,,2,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
96,jfreechart,881,org/jfree/chart/plot/CategoryPlot.java,"removeDomainMarker(int, Marker, Layer, boolean)",java.util.Map,,,,7a,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
97,jfreechart,881,org/jfree/chart/plot/CategoryPlot.java,"removeRangeMarker(int, Marker, Layer, boolean)",java.util.Map,,,,7b,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
98,jfreechart,2266,org/jfree/chart/renderer/category/AbstractCategoryItemRenderer.java,getLegendItems(),org.jfree.chart.plot.CategoryPlot,,,,6,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
99,jfreechart,164,org/jfree/chart/renderer/category/StatisticalBarRenderer.java,"drawHorizontalItem(Graphics2D, CategoryItemRendererState, Rectangle2D, CategoryPlot, CategoryAxis, ValueAxis, StatisticalCategoryDataset, int, int)",org.jfree.data.statistics.StatisticalCategoryDataset,,,,3a,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
100,jfreechart,164,org/jfree/chart/renderer/category/StatisticalBarRenderer.java,"drawVerticalItem(Graphics2D, CategoryItemRendererState, Rectangle2D, CategoryPlot, CategoryAxis, ValueAxis, StatisticalCategoryDataset, int, int)",org.jfree.data.statistics.StatisticalCategoryDataset,,,,3b,,exception,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,FALSE,TRUE,,,,,,,,TRUE
101,jfreechart,164,org/jfree/chart/renderer/category/StatisticalBarRenderer.java,"drawHorizontalItem(Graphics2D, CategoryItemRendererState, Rectangle2D, CategoryPlot, CategoryAxis, ValueAxis, StatisticalCategoryDataset, int, int)",org.jfree.data.statistics.StatisticalCategoryDataset,,,duplicate,4a,,exception,,,,,,,,,#VALUE!,,,,,,,,,FALSE
